"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-31","50","58","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-01","50","58","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-02","54","62","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-03","56","64","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-04","59","67","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-05","49","52","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-06","49","56","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-07","48","56","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-08","52","60","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-09","55","60","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-10","57","59","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-11","53","56","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-12","48","53","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-13","48","53","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-14","47","54","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-15","42","48","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-16","43","48","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-17","47","54","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-18","41","46","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-19","38","41","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-20","38","45","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-21","35","40","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-22","31","35","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-23","31","36","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-24","30","37","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-25","36","41","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-26","47","52","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-27","49","51","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-28","47","50","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-29","44","50","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11-30","40","43","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-01","36","40","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-02","31","35","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-03","29","35","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-04","35","45","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-05","39","46","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-06","29","32","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-07","32","35","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-08","30","31","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-09","32","35","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-10","35","42","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12-11","40","44","36"
